楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,EXスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
AμreoLe ~for Triumph~,EXHAUST,17,PLAYED,AA+,9621776,0,2,0,0,0
AμreoLe ~for Triumph~,MAXIMUM,19,PLAYED,A+,9291111,6417,3,0,0,0
XHRONOXAPSULΞ,EXHAUST,18,COMPLETE,AA,9361038,5364,7,2,0,0
XHRONOXAPSULΞ,MAXIMUM,20,PLAYED,A+,9055084,6103,14,0,0,0
ZEUS,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9795445,6451,4,1,0,0
ZEUS,MAXIMUM,19,PLAYED,AA,9475028,8535,4,0,0,0
ピアノ協奏曲第１番”蠍火”,EXHAUST,17,COMPLETE,AA+,9570112,0,3,3,0,0
Aftermath,MAXIMUM,17,PLAYED,AA,9382504,6004,9,0,0,0
竹,EXHAUST,17,COMPLETE,AA,9310918,4579,3,3,0,0
《Re:miniscence》,EXHAUST,18,PLAYED,A,8701737,5623,1,0,0,0
《Re:miniscence》,MAXIMUM,20,PLAYED,D,537694,0,1,0,0,0
まみむめ🍄まるっと🍄まっしゅるーむ🍄🍄,ADVANCED,13,PLAYED,AA,9421157,0,1,0,0,0
Empty Backdoor,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9743950,4612,7,2,0,0
斑咲花,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9787522,5566,5,3,0,0
BAYONEX,EXHAUST,17,COMPLETE,A,8919793,4392,1,1,0,0
BAYONEX,MAXIMUM,19,PLAYED,A+,9130754,6222,3,0,0,0
MOVE! (We Keep It Movin'),MAXIMUM,17,PLAYED,AA+,9588358,0,1,0,0,0
αzalea,MAXIMUM,19,PLAYED,A+,9089800,0,1,0,0,0
- Jupiter -,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9720654,5409,5,2,0,0
Restless Waitress,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9841784,6657,4,3,0,0
Vallasotiena,EXHAUST,16,ULTIMATE CHAIN,S,9947337,0,1,1,1,0
イヤホンロマンス,MAXIMUM,16,COMPLETE,A+,9297680,0,1,1,0,0
キャプテン・マリンのケツアンカー,MAXIMUM,17,COMPLETE,AA+,9624948,0,2,2,0,0
PSYCHO+HEROES,ADVANCED,13,PLAYED,A,8916112,0,1,0,0,0
シアワセうさぎ・ぺこみこマリン,MAXIMUM,16,EXCESSIVE COMPLETE,AA+,9661547,4668,1,1,0,0
ナナホシのうた,MAXIMUM,16,PLAYED,A+,9236711,0,1,0,0,0
Help me， ERINNNNNN!! #幻想郷ホロイズムver.,MAXIMUM,17,COMPLETE,AA,9442567,0,1,1,0,0
FEEL THE FORCE,EXHAUST,16,EXCESSIVE COMPLETE,AAA,9785841,4353,3,3,0,0
ディスコルディア,EXHAUST,17,COMPLETE,AAA,9700777,0,1,1,0,0
nostos -ark remix-,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9818281,0,3,3,0,0
Metagame Matador,EXHAUST,16,COMPLETE,AA+,9621010,0,1,1,0,0
Innocent Azure,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9839839,6340,3,2,0,0
Fun walk!!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9732695,4632,3,1,0,0
オルターエゴ,MAXIMUM,17,COMPLETE,AA+,9659361,0,3,1,0,0
キラメキ居残り大戦争,MAXIMUM,17,PLAYED,AA+,9553183,0,1,0,0,0
Chronomia,EXHAUST,17,EXCESSIVE COMPLETE,S,9909297,7493,9,8,0,0
SHION -sublimation mix-,MAXIMUM,17,PLAYED,AA+,9639662,0,1,0,0,0
777,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9814533,7848,15,10,0,0
777,MAXIMUM,19,PLAYED,A,8939765,8334,2,0,0,0
Bad Elixir,ADVANCED,13,COMPLETE,A+,9167968,0,1,1,0,0
緋色月下、狂咲ノ絶 (nayuta 2017 ver),MAXIMUM,18,COMPLETE,AA+,9670179,5727,6,1,0,0
ラストリゾート,MAXIMUM,16,COMPLETE,AA+,9690461,0,1,1,0,0
Symphonic Tear,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9714867,6155,2,2,0,0
Non RolicK!!大冒険,MAXIMUM,17,PLAYED,AA+,9600161,0,1,0,0,0
apo:llioth,EXHAUST,16,PLAYED,AA+,9695084,0,2,0,0,0
apo:llioth,MAXIMUM,18,PLAYED,AAA,9743533,6425,2,0,0,0
With It This Heaven?,EXHAUST,16,PLAYED,AAA,9760779,0,1,0,0,0
With It This Heaven?,MAXIMUM,18,PLAYED,AA+,9684975,6548,2,0,0,0
Calamity Tempest,EXHAUST,17,PLAYED,AA+,9588545,5427,2,0,0,0
Calamity Tempest,MAXIMUM,19,PLAYED,AA,9359291,7374,2,0,0,0
Daisycutter,EXHAUST,17,EXCESSIVE COMPLETE,S,9916492,5095,7,5,0,0
Daisycutter,MAXIMUM,19,COMPLETE,AAA,9742210,5889,5,2,0,0
飄える翼追い掛けて,EXHAUST,17,PLAYED,AA+,9588835,4645,2,0,0,0
飄える翼追い掛けて,MAXIMUM,19,PLAYED,A+,9219990,5969,2,0,0,0
MAYHEM,EXHAUST,18,COMPLETE,AAA+,9804585,9634,16,13,0,0
MAYHEM,MAXIMUM,20,COMPLETE,AAA,9748461,13049,7,1,0,0
ΛΛemoria,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9674242,5679,3,1,0,0
ΛΛemoria,MAXIMUM,19,PLAYED,AA,9486607,6782,2,0,0,0
Hexennacht,VIVID,17,COMPLETE,AA,9340802,4064,2,1,0,0
おどりましょうよ！ドラゴンさん ～転生したらゲーム曲でした～,MAXIMUM,17,COMPLETE,AA+,9524965,4422,5,3,0,0
Φnd:you,EXHAUST,16,COMPLETE,A,8916023,0,1,1,0,0
Φnd:you,MAXIMUM,18,COMPLETE,A+,9186851,5241,3,1,0,0
Me:Tear,EXHAUST,15,PLAYED,A,8905155,0,1,0,0,0
Innocent,ADVANCED,13,PLAYED,A+,9063109,0,3,0,0,0
Innocent,EXHAUST,16,COMPLETE,AAA,9775455,5416,15,9,0,0
Innocent,MAXIMUM,18,COMPLETE,AA+,9651287,7199,1,1,0,0
Ethereal Lotus,EXHAUST,15,PLAYED,A+,9254492,0,2,0,0,0
Ethereal Lotus,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9865431,7024,12,6,0,0
星の詩,MAXIMUM,17,PLAYED,AA+,9578075,0,1,0,0,0
Lazurite,EXHAUST,15,COMPLETE,S,9905838,0,1,1,0,0
狂水一華,MAXIMUM,18,COMPLETE,AA,9499196,5082,4,1,0,0
Lisa-RICCIA,MAXIMUM,19,COMPLETE,AA+,9597837,7693,21,2,0,0
Sparkling Laser Beam,ADVANCED,12,PLAYED,A+,9232365,0,1,0,0,0
Sparkling Laser Beam,VIVID,17,PLAYED,A+,9155138,0,1,0,0,0
VVelcome!!,EXHAUST,18,COMPLETE,AA,9466843,5649,5,1,0,0
†:OLPHEUX:†,EXHAUST,17,PLAYED,AA+,9598853,0,3,0,0,0
GEMINI LA2ER,EXHAUST,16,PLAYED,AAA,9760620,4880,1,0,0,0
